APPIC Number,Site / Department,URL,Location,Application Due Date,Program,Last Updated
1458,Mt. Sinai Services/Elmhurst Hospital Center/Elmhurst Hospital Center,https://membership.appic.org/directory/display/88,"Elmhurst, NY, USA",11/05/2025 11:59 PM EST,Internship,10/31/2025
2308,Natalis Psychology Training Program /Professional Psychology,https://membership.appic.org/directory/display/1699,"St. Paul, MN, USA",11/24/2025 11:59 PM EST,Internship,11/25/2025
1925,National Psychology Training Consortium/ Central Region,https://membership.appic.org/directory/display/131,"Springfield, MO, USA",11/23/2025 11:59 PM EST,Internship,11/10/2025
2044,National Psychology Training Consortium/Cascades Region,https://membership.appic.org/directory/display/654,"Renton, WA, USA",11/23/2025 11:59 PM EST,Internship,11/10/2025
2603,National Psychology Training Consortium/Cy-Hawk Region,https://membership.appic.org/directory/display/3144,"Ankeny, IA, USA",11/23/2025 11:59 PM EST,Internship,11/10/2025
2288,National Psychology Training Consortium/Great Lakes Region,https://membership.appic.org/directory/display/1394,"Noblesville, IN, USA",11/23/2025 11:59 PM EST,Internship,11/10/2025
2637,National Psychology Training Consortium/Pacific Region,https://membership.appic.org/directory/display/3295,"Seattle, WA, USA",11/23/2025 11:59 PM EST,Internship,11/10/2025
1509,Nationwide Children's Hospital/Department of Psychology,https://membership.appic.org/directory/display/474,"Columbus, OH, USA",11/01/2025 11:59 PM EST,Internship,7/25/2025
1416,Nebraska Internship Consortium in Professional Psychology/Educational Psychology,https://membership.appic.org/directory/display/84,"Lincoln, NE, USA",11/01/2025 11:59 PM EST,Internship,10/8/2025
1197,"Nemours Children's Health, Delaware (formerly Nemours/A.I. duPont Hospital for Children)/Division of Psychology",https://membership.appic.org/directory/display/408,"Wilmington, DE, USA",11/01/2025 11:59 PM EST,Internship,10/29/2025
2323,Nevada Psychology Internship Consortium (NV-PIC)/Division of Public and Behavioral Health,https://membership.appic.org/directory/display/1680,"Las Vegas, NV, USA",11/16/2025 11:59 PM EST,Internship,8/22/2025
2493,New Alternatives for Children/Art 31 Mental Health,https://membership.appic.org/directory/display/1676,"New York, NY, USA",11/07/2025 11:59 PM EST,Internship,7/30/2025
2659,New Directions for Young Adults/Psychology,https://membership.appic.org/directory/display/3443,"Deerfield Beach, FL, USA",12/15/2025 11:59 PM EST,Internship,10/20/2025
1442,New York City Children's Center-Queens Campus/Psychology,https://membership.appic.org/directory/display/762,"Bellerose, NY, USA",11/21/2025 11:59 PM EST,Internship,7/31/2025
1476,New York University - Bellevue Hospital Center/Departments of Psychiatry and Child & Adolescent Psychiatry,https://membership.appic.org/directory/display/95,"New York, NY, USA",11/02/2025 11:59 PM EST,Internship,8/8/2025
1475,New York University Langone Medical Center/Rusk Institute of Rehabilitation Medicine,https://membership.appic.org/directory/display/749,"New York, NY, USA",11/14/2025 11:59 PM EST,Internship,11/11/2025
1796,Nicklaus Children's Hospital Psychology Internship Program/Psychology Services,https://membership.appic.org/directory/display/686,"Miami, FL, USA",11/03/2025 11:59 PM EST,Internship,8/25/2025
1444,North Bronx Healthcare Network: Jacobi Medical Center/North Central Bronx Hospital/Behavioral Healthcare Services/Psychology,https://membership.appic.org/directory/display/633,"Bronx, NY, USA",11/07/2025 11:59 PM EST,Internship,8/28/2025
2638,Northeast Tennessee Psychology Internship Consortium/Northeast Tennessee Psychology Internship Consortium,https://membership.appic.org/directory/display/3316,"Kingsport, TN, USA",12/15/2025 11:59 PM EST,Internship,9/30/2025
2237,"Northwell Health (formerly North Shore-LIJ), Staten Island University Hospital/Rehabilitation Medicine",https://membership.appic.org/directory/display/1677,"Staten Island , NY, USA",12/01/2025 11:59 PM EST,Internship,6/4/2025
1204,Nova Southeastern University/South Florida Consortium Internship Program,https://membership.appic.org/directory/display/60,"Fort Lauderdale, FL, USA",11/01/2025 11:59 PM EST,Internship,9/5/2025
1203,Nova Southeastern University Psychology Services Center/College of Psychology,https://membership.appic.org/directory/display/253,"Fort Lauderdale, FL, USA",11/01/2025 11:59 PM EST,Internship,7/27/2025
2531,Ochsner Health/Ochsner Psychology Doctoral Internship,https://membership.appic.org/directory/display/2847,"New Orleans, LA, USA",12/01/2025 11:59 PM EST,Internship,11/14/2025
2528,Oklahoma Private Practice Internship Consortium/Assessment and Behavior Therapy,https://membership.appic.org/directory/display/2756,"Yukon, OK, USA",11/03/2025 11:59 PM EST,Internship,1/6/2026
2611,Oklahoma Professional Psychology Training Consortium/Clinical Training,https://membership.appic.org/directory/display/3183,"McAlester , OK, USA",02/01/2025 11:59 PM EST,Internship,3/8/2026
1525,Oregon Health & Science University - Univ. Center for Excellence on Developmental Disabilities/Child Development and Rehabilitation Center,https://membership.appic.org/directory/display/605,"Portland, OR, USA",11/01/2025 11:59 PM EST,Internship,8/21/2025
1752,Oregon State University/Counseling and Psychological Services,https://membership.appic.org/directory/display/80,"Corvallis, OR, USA",11/01/2025 11:59 PM EST,Internship,8/25/2025
1477,Pace University/Counseling Center,https://membership.appic.org/directory/display/717,"New York, NY, USA",11/01/2025 11:59 PM EST,Internship,6/23/2025
1148,Pacific Clinics/Psychology Internship Program/Clinical Intern Program,https://membership.appic.org/directory/display/470,"Pasadena, CA, USA",11/03/2025 11:59 PM EST,Internship,8/12/2025
1292,"Park Center, Inc./Internship in Clinical and Counseling Psychology",https://membership.appic.org/directory/display/78,"Fort Wayne, IN, USA",12/17/2025 11:59 PM EST,Internship,12/8/2025
2631,Parnes Clinic/Ferkauf Graduate School of Psychology/Yeshiva University,https://membership.appic.org/directory/display/3255,"Bronx, NY, USA",01/18/2026 11:59 PM EST,Internship,10/29/2025
2266,Penn State Milton S. Hershey Medical Center/Psychiatry,https://membership.appic.org/directory/display/1525,"Hershey, PA, USA",11/15/2025 11:59 PM EST,Internship,7/24/2025
2571,People Inc./Behavioral Health,https://membership.appic.org/directory/display/2983,"Williamsville, NY, USA",12/05/2025 11:59 PM EST,Internship,7/7/2025
2052,Phoenix Children's Hospital/Division of Psychology,https://membership.appic.org/directory/display/275,"Phoenix , AZ, USA",11/01/2025 11:59 PM EST,Internship,9/16/2025
1370,Pine Rest/Doctoral Psychology Internship,https://membership.appic.org/directory/display/467,"Grand Rapids, MI, USA",11/17/2025 11:59 PM EST,Internship,10/14/2025
2285,Pittsburgh Psychology Internship Consortium (P-PIC)/-,https://membership.appic.org/directory/display/1558,"Pittsburgh, PA, USA",11/16/2025 11:59 PM EST,Internship,10/23/2025
2492,Pleasantville Union Free School District/Educational Services,https://membership.appic.org/directory/display/2422,"Pleasantville, NY, USA",11/28/2025 11:59 PM EST,Internship,11/5/2025
1534,Portia Bell Hume Behavioral Health and Training Center/Doctoral Internship Training Program,https://membership.appic.org/directory/display/2566,"Concord, CA, USA",12/31/2025 11:59 PM EST,Internship,1/12/2026
2203,Primary Care Psychology Associates/Behavioral Health,https://membership.appic.org/directory/display/310,"Chicago, IL, USA",11/03/2025 11:59 PM EST,Internship,8/7/2025
1601,Primary Children's Hospital/Psychiatry and Behavioral Health,https://membership.appic.org/directory/display/399,"Salt Lake City, UT, USA",11/02/2025 11:59 PM EST,Internship,10/22/2025
2608,Quintessential Health/Clinical Psychology,https://membership.appic.org/directory/display/3157,"Warrington, PA, USA",12/01/2025 11:59 PM EST,Internship,11/14/2025
1678,"RAMS, Inc./National Asian American Psychology Training Center",https://membership.appic.org/directory/display/504,"San Francisco, CA, USA",11/01/2025 11:59 PM EST,Internship,2/9/2026
2456,Richard J. Donovan Correctional/Mental Health Services Delivery System,https://membership.appic.org/directory/display/1594,"San Diego , CA, USA",11/28/2025 11:59 PM EST,Internship,2/27/2026
2091,Riverview Psychiatric Center /Psychology Department,https://membership.appic.org/directory/display/356,"Augusta, ME, USA",11/03/2025 11:59 PM EST,Internship,8/21/2025
2391,Rochester Psychology Internship Consortium/Behavioral Health,https://membership.appic.org/directory/display/2114,"Rochester , NY, USA",12/01/2025 11:59 PM EST,Internship,9/25/2025
2569,Rockland Psychiatric Center/Psychology,https://membership.appic.org/directory/display/2960,"Orangeburg, NY, USA",12/01/2025 11:59 PM EST,Internship,9/26/2025
1430,"Rutgers Biomedical and Health Sciences/Rutgers University Behavioral Health Care,  C-1420",https://membership.appic.org/directory/display/723,"Newark, NJ, USA",11/03/2025 11:59 PM EST,Internship,8/27/2025
1799,"Rutgers Student Health - CAPS/Counseling, ADAP, & Psychiatric Services",https://membership.appic.org/directory/display/1367,"New Brunswick, NJ, USA",11/09/2025 11:59 PM EST,Internship,1/23/2026
1432,Rutgers University Behavioral Health Care- Rutgers Biomedical and Health Sciences/Rutgers University Behavioral Health Care,https://membership.appic.org/directory/display/442,"Piscataway, NJ, USA",11/04/2025 11:59 PM EST,Internship,10/27/2025
1424,RWJBH Trinitas Regional Medical Center/Department of Behavioral Health and Psychiatry,https://membership.appic.org/directory/display/683,"Elizabeth, NJ, USA",11/01/2025 11:59 PM EST,Internship,12/19/2025
2506,Sagamore Children's Psychiatric Center/Psychology Department ,https://membership.appic.org/directory/display/2603,"Dix Hills, NY, USA",11/02/2025 11:59 PM EST,Internship,9/24/2025
1162,Saint John's Child and Family Development Center/Psychology Training Program,https://membership.appic.org/directory/display/552,"Santa Monica, CA, USA",11/01/2025 11:59 PM EST,Internship,9/10/2025
2657,San Antonio Psychology Internship Consortium/Psychology Residency,https://membership.appic.org/directory/display/3474,"San Antonio, TX, USA",12/12/2025 11:59 PM EST,Internship,10/6/2025
2455,Santa Barbara Psychology Internship Consortium/SB-PIC,https://membership.appic.org/directory/display/2305,"Santa Barbara, CA, USA",12/02/2025 11:59 PM EST,Internship,7/30/2025
1659,Sarah A. Reed Children's Center/Psychology Department,https://membership.appic.org/directory/display/43,"Erie, PA, USA",11/10/2024 11:59 PM EST,Internship,1/22/2025
1757,"Shared Vision Psychological Services, Inc./Clinical Training Program",https://membership.appic.org/directory/display/441,"Oak Brook , IL, USA",11/01/2025 11:59 PM EST,Internship,8/26/2025
1153,Sharp HealthCare/Doctoral Internship in Clinical Psychology,https://membership.appic.org/directory/display/170,"San Diego, CA, USA",11/02/2025 11:59 PM EST,Internship,7/16/2025
2488,Solutions Behavioral Healthcare Professionals/Psychology,https://membership.appic.org/directory/display/2396,"Moorhead, MN, USA",12/05/2025 11:59 PM EST,Internship,1/12/2026
1218,South Florida Evaluation and Treatment Center/Psychology Services,https://membership.appic.org/directory/display/520,"Florida City, FL, USA",12/26/2025 11:59 PM EST,Internship,8/25/2025
1296,"Southlake Community Mental Health Center, Inc  DBA Regional Mental Health Center/Regional Health Services Pre-Doctoral Internship",https://membership.appic.org/directory/display/591,"Merrillville, IN, USA",11/28/2025 11:59 PM EST,Internship,10/30/2025
2035,Southwest Behavioral & Health Services/Training Institute,https://membership.appic.org/directory/display/642,"Phoenix, AZ, USA",11/11/2025 11:59 PM EST,Internship,6/4/2025
2261,SSM Health (formerly Agnesian Healthcare)/Behavioral Health,https://membership.appic.org/directory/display/1425,"Fond du Lac, WI, USA",11/29/2024 11:59 PM EST,Internship,11/4/2025
2565,St. Christopher's Hospital for Children/Department of Pediatrics,https://membership.appic.org/directory/display/2941,"Philadelphia, PA, USA",11/14/2025 11:59 PM EST,Internship,7/30/2025
2552,Sunset Terrace Family Health Center at NYU Langone/Ambulatory Behavioral Health,https://membership.appic.org/directory/display/2893,"BROOKLYN, NY, USA",12/12/2025 11:59 PM EST,Internship,7/30/2025
2521,SUNY Buffalo State University/Counseling Center,https://membership.appic.org/directory/display/2679,"Buffalo, NY, USA",11/30/2025 11:59 PM EST,Internship,11/24/2025
1747,Superior Court of the District of Columbia/Child Guidance Clinic,https://membership.appic.org/directory/display/564,"Washington, DC, USA",11/14/2025 11:59 PM EST,Internship,11/14/2025
2538,Syracuse University/Barnes Center at The Arch Counseling,https://membership.appic.org/directory/display/2781,"Syracuse, NY, USA",11/25/2025 11:59 PM EST,Internship,10/31/2025
1907,Temple University/Tuttleman Counseling Services,https://membership.appic.org/directory/display/203,"Philadelphia, PA, USA",11/01/2025 11:59 PM EST,Internship,7/24/2025
1556,Tennessee Internship Consortium in Psychology/TIC/Little Tenn. Valley Ed. Cooperative,https://membership.appic.org/directory/display/451,"Loudon, TN, USA",11/01/2025 11:59 PM EST,Internship,11/7/2025
2592,Texas Tech University Health Sciences Center Lubbock/Department of Psychiatry,https://membership.appic.org/directory/display/3106,"Lubbock, TX, USA",11/01/2025 11:59 PM EST,Internship,7/28/2025
2630,Texas Telehealth Internship Consortium/Texas Telehealth Internship Consortium,https://membership.appic.org/directory/display/3182,"College Station, TX, USA",11/14/2025 11:59 PM EST,Internship,2/5/2026
2650,The Arc of Central Alabama/Behavior Support,https://membership.appic.org/directory/display/3280,"Birmingham, AL, USA",11/01/2025 11:59 PM EST,Internship,3/6/2026
1596,The Children's Center Utah/Psychology Internship Training Program,https://membership.appic.org/directory/display/189,"West Valley City, UT, USA",11/19/2025 11:59 PM EST,Internship,3/2/2026
1103,The Harris County Children's Assessment Center/Therapy and Psychological Services,https://membership.appic.org/directory/display/179,"Houston, TX, USA",11/30/2025 11:59 PM EST,Internship,6/26/2025
1164,The Help Group/Training Department,https://membership.appic.org/directory/display/169,"Sherman Oaks, CA, USA",11/19/2025 11:59 PM EST,Internship,1/28/2026
2589,The Jane Pauley Community Health Center/Integrated Behavioral Health,https://membership.appic.org/directory/display/3057,"Anderson, IN, USA",11/30/2025 11:59 PM EST,Internship,12/9/2025
1711,"The May Institute, Inc./Doctoral Internship Program in Clinical Psychology",https://membership.appic.org/directory/display/295,"Randolph, MA, USA",11/14/2025 11:59 PM EST,Internship,9/17/2025
1511,The Ohio State University/Counseling and Consultation Service,https://membership.appic.org/directory/display/780,"Columbus, OH, USA",11/02/2025 11:59 PM EST,Internship,7/16/2025
2022,The School at Columbia University/Child Support Team,https://membership.appic.org/directory/display/178,"New York, NY, USA",11/14/2025 11:59 PM EST,Internship,6/16/2025
1568,The University of Texas at Austin/Counseling and Mental Health Center,https://membership.appic.org/directory/display/766,"Austin, TX, USA",11/01/2025 11:59 PM EST,Internship,7/30/2025
1588,The University of Texas at San Antonio Joe R. and Teresa Lozano Long School of Medicine/Department of Psychiatry and Behavioral Sciences,https://membership.appic.org/directory/display/505,"San Antonio, TX, USA",11/30/2025 11:59 PM EST,Internship,8/7/2025
1181,"The Village for Families & Children, Inc./Enhanced Care Clinic",https://membership.appic.org/directory/display/421,"Hartford, CT, USA",11/01/2025 11:59 PM EST,Internship,7/28/2025
2648,Toribio Psychological Services/Psychology,https://membership.appic.org/directory/display/3248,"Fresno, CA, USA",12/22/2025 11:59 PM EST,Internship,11/20/2025
2029,Travis County Juvenile Probation Department /Travis County Psychology Internship Program,https://membership.appic.org/directory/display/252,"Austin, TX, USA",11/01/2025 11:59 PM EST,Internship,7/25/2025
2537,UC Berkeley/Berkeley Psychology Internship Consortium,https://membership.appic.org/directory/display/2822,"Berkeley, CA, USA",11/30/2025 11:59 PM EST,Internship,6/26/2025
1771,"UC Davis Children's Hospital/CAARE Diagnostic &Treatment Center, Department of Pediatrics",https://membership.appic.org/directory/display/165,"Sacramento, CA, USA",11/01/2025 11:59 PM EST,Internship,11/13/2025
1663,"University at Albany, State University of New York/Counseling and Psychological Services",https://membership.appic.org/directory/display/702,"Albany, NY, USA",11/10/2025 11:59 PM EST,Internship,7/29/2025
2523,University at Buffalo/Psychiatry,https://membership.appic.org/directory/display/2746,"Buffalo, NY, USA",11/14/2025 11:59 PM EST,Internship,9/30/2025
2522,University of Arizona/Department of Disability and Psychoeducational Studies,https://membership.appic.org/directory/display/2745,"Tucson, AZ, USA",12/07/2025 11:59 PM EST,Internship,11/27/2025
1111,University of Arizona College of Medicine/Department of Psychiatry,https://membership.appic.org/directory/display/24,"Tucson, AZ, USA",11/14/2025 11:59 PM EST,Internship,8/25/2025
1115,"University of California, Berkeley/Counseling and Psychological Services",https://membership.appic.org/directory/display/368,"Berkeley, CA, USA",11/01/2025 11:59 PM EST,Internship,6/26/2025
2556,"University of California, Davis/UC Davis MIND Institute Doctoral Internship",https://membership.appic.org/directory/display/2796,"Sacramento, CA, USA",11/01/2025 11:59 PM EST,Internship,11/3/2025
2457,"University of California, Davis Health/Department of Psychiatry and Behavioral Sciences, Clinical Child and Adolescent Psychology (CCAP) Internship Program",https://membership.appic.org/directory/display/2200,"Sacramento, CA, USA",11/02/2025 11:59 PM EST,Internship,7/9/2025
2037,University of Central Florida (UCF)/Counseling and Psychological Services (CAPS),https://membership.appic.org/directory/display/729,"Orlando, FL, USA",11/01/2024 11:59 PM EST,Internship,6/30/2025
1176,"University of Denver, Graduate School of Professional Psychology/Internship Consortium",https://membership.appic.org/directory/display/862,"Denver, CO, USA",11/04/2025 11:59 PM EST,Internship,10/27/2025
2651,University of Florida/Psychiatry,https://membership.appic.org/directory/display/3367,"Gainesville, FL, USA",12/01/2025 11:59 PM EST,Internship,9/18/2025
1582,University of Houston/Counseling and Psychological Services,https://membership.appic.org/directory/display/696,"Houston, TX, USA",11/06/2025 11:59 PM EST,Internship,7/31/2025
1265,University of Illinois at Chicago/Psychiatry Department,https://membership.appic.org/directory/display/748,"Chicago, IL, USA",11/01/2025 11:59 PM EST,Internship,7/30/2025
1314,University of Louisville School of Medicine/Department of Pediatrics,https://membership.appic.org/directory/display/797,"Louisville, KY, USA",11/02/2025 11:59 PM EST,Internship,7/31/2025
1341,University of Massachusetts Chan Medical School/Worcester Recovery Center and Hospital (formerly Worcester State Hospital)/Psychology,https://membership.appic.org/directory/display/234,"Worcester, MA, USA",11/01/2025 11:59 PM EST,Internship,7/8/2025
1650,University of Michigan/Mary A. Rackham Institute Internship Program,https://membership.appic.org/directory/display/816,"Ann Arbor, MI, USA",11/01/2025 11:59 PM EST,Internship,10/20/2025
1381,University of Minnesota Medical School/Department of Pediatrics,https://membership.appic.org/directory/display/135,"Minneapolis, MN, USA",11/01/2025 11:59 PM EST,Internship,11/10/2025
1389,University of Missouri/Counseling Center,https://membership.appic.org/directory/display/90,"Columbia, MO, USA",11/15/2025 11:59 PM EST,Internship,6/6/2025
2293,University of Nevada Las Vegas/Student Counseling and Psychological Services,https://membership.appic.org/directory/display/1473,"Las Vegas, NV, USA",11/15/2025 11:59 PM EST,Internship,7/31/2025
2382,"University of Nevada, Reno/Counseling Services",https://membership.appic.org/directory/display/2096,"Reno, NV, USA",11/23/2025 11:59 PM EST,Internship,9/23/2025
1436,University of New Mexico Health Sciences Center/Department of Psychiatry and Behavioral Sciences,https://membership.appic.org/directory/display/220,"Albuquerque, NM, USA",11/01/2025 11:59 PM EST,Internship,10/29/2025
1409,University of North Carolina SOM - Clinical Psych/Department of Psychiatry,https://membership.appic.org/directory/display/144,"Chapel Hill, NC, USA",11/01/2025 11:59 PM EST,Internship,8/28/2025
2435,University of North Florida/Counseling Center,https://membership.appic.org/directory/display/2298,"Jacksonville, FL, USA",11/02/2025 11:59 PM EST,Internship,11/4/2025
1536,University of Pennsylvania Department of Psychiatry/Department of Psychiatry,https://membership.appic.org/directory/display/384,"Philadelphia, PA, USA",11/01/2025 11:59 PM EST,Internship,6/20/2025
2610,University of Richmond/Counseling and Psychological Services (CAPS),https://membership.appic.org/directory/display/2968,"Richmond, VA, USA",12/07/2025 11:59 PM EST,Internship,12/1/2025
1226,University of South Florida/Counseling Center ,https://membership.appic.org/directory/display/372,"Tampa, FL, USA",11/14/2025 11:59 PM EST,Internship,10/8/2025
2499,University of South Florida/USF Health Doctoral Internship ,https://membership.appic.org/directory/display/2600,"Tampa, FL, USA",11/01/2025 11:59 PM EST,Internship,8/25/2025
1560,University of Tennessee Health Science Center/Department of Psychiatry,https://membership.appic.org/directory/display/216,"Memphis, TN, USA",11/01/2025 11:59 PM EST,Internship,7/8/2025
2294,"University of Texas Health Science Center, Houston/Psychiatry and Behavioral Sciences",https://membership.appic.org/directory/display/913,"Houston, TX, USA",11/03/2025 11:59 PM EST,Internship,9/19/2025
1272,University of the Pacific/Counseling and Psychological Services  ,https://membership.appic.org/directory/display/680,"Stockton , CA, USA",11/21/2023 11:59 PM EST,Internship,12/13/2023
1597,"University of Utah, Huntsman Mental Health Institute (HMHI)/Psychology Training",https://membership.appic.org/directory/display/769,"Salt Lake City, UT, USA",11/15/2025 11:59 PM EST,Internship,11/20/2025
1619,University of Washington School of Medicine/Dept of Psychiatry & Behavioral Sciences,https://membership.appic.org/directory/display/222,"Seattle, WA, USA",11/03/2025 11:59 PM EST,Internship,7/29/2025
1628,University of Wisconsin/University of Wisconsin SMPH - Dept. of Psychiatry,https://membership.appic.org/directory/display/377,"Madison, WI, USA",11/03/2025 11:59 PM EST,Internship,10/28/2025
2487,Utah Psychology Internship Consortium/Utah Psychology Internship Consortium,https://membership.appic.org/directory/display/2638,"American Fork, UT, USA",11/18/2025 11:59 PM EST,Internship,2/24/2026
1594,Utah State Hospital/Psychology Services,https://membership.appic.org/directory/display/7,"Provo, UT, USA",11/03/2025 11:59 PM EST,Internship,7/24/2025
1139,VA - Los Angeles Ambulatory Care Center/Psychology Service (116B),https://membership.appic.org/directory/display/744,"Los Angeles, CA, USA",11/03/2025 11:59 PM EST,Internship,7/30/2025
1347,VA Maryland Health Care System/VAMHCS/UM SOM Psychology Internship Consortium,https://membership.appic.org/directory/display/597,"Baltimore, MD, USA",11/05/2025 11:59 PM EST,Internship,7/31/2025
2349,"VA Medical Center, Martinsburg/Mental Health Service",https://membership.appic.org/directory/display/1580,"Martinsburg, WV, USA",12/01/2025 11:59 PM EST,Internship,7/31/2025
1453,"VA New York Harbor Healthcare System, Brooklyn Campus/Psychology Service (116B)",https://membership.appic.org/directory/display/846,"Brooklyn, NY, USA",11/01/2025 11:59 PM EST,Internship,7/30/2025
1480,Veterans Affairs NY Harbor Health Care System-Manhattan Campus/Psychology Internship Training Program,https://membership.appic.org/directory/display/134,"New York, NY, USA",11/01/2025 11:59 PM EST,Internship,9/15/2025
1693,Virginia Beach City Public Schools/Psychological Services,https://membership.appic.org/directory/display/58,"Virginia Beach, VA, USA",12/01/2025 11:59 PM EST,Internship,6/25/2025
1373,Walter Reuther Psychiatric Hospital - Youth/Child and Adolescent Psychology Department,https://membership.appic.org/directory/display/76,"Westland, MI, USA",11/12/2025 11:59 PM EST,Internship,12/16/2025
2662,Waypoint Wellness Center/Training,https://membership.appic.org/directory/display/3189,"Annapolis, MD, USA",01/16/2026 11:59 PM EST,Internship,12/29/2025
2164,WellSpan Philhaven CBT/WellSpan Philhaven ,https://membership.appic.org/directory/display/213,"York , PA, USA",12/01/2025 11:59 PM EST,Internship,9/23/2025
1639,"West Virginia University School of Medicine, Morgantown/Department of Behavioral Medicine & Psychiatry",https://membership.appic.org/directory/display/586,"Morgantown, WV, USA",11/01/2025 11:59 PM EST,Internship,11/13/2025
2494,Westchester Institute for Human Development /Psychology Training ,https://membership.appic.org/directory/display/2702,"Valhalla, NY, USA",11/21/2025 11:59 PM EST,Internship,7/30/2025
1460,Westchester Jewish Community Services/Psychology Department,https://membership.appic.org/directory/display/820,"White Plains, NY, USA",11/24/2025 11:59 PM EST,Internship,8/25/2025
2026,WestCoast Children's Clinic/Internship Training Program,https://membership.appic.org/directory/display/580,"Oakland, CA, USA",11/02/2025 11:59 PM EST,Internship,12/1/2025
2132,Western Carolina University /Counseling and Psychological Services (CAPS),https://membership.appic.org/directory/display/319,"Cullowhee, NC, USA",11/16/2025 11:59 PM EST,Internship,11/11/2025
2567,Western New York Children's Psychiatric Center/Psychology,https://membership.appic.org/directory/display/2955,"West Seneca, NY, USA",12/01/2025 11:59 PM EST,Internship,10/28/2025
1310,Western State Hospital Internship Program/Western State Hospital,https://membership.appic.org/directory/display/137,"Hopkinsville, KY, USA",11/21/2025 11:59 PM EST,Internship,6/19/2025
2597,White Birch Educational Services/School Psychology ,https://membership.appic.org/directory/display/3052,"Exeter, NH, USA",12/01/2025 11:59 PM EST,Internship,2/5/2026
2642,Wisdom Institute /Psychology,https://membership.appic.org/directory/display/3298,"Sacramento, CA, USA",11/03/2025 11:59 PM EST,Internship,7/27/2025
1746,Woodhull Medical Center/Psychological Services- Room 5A-12,https://membership.appic.org/directory/display/244,"Brooklyn, NY, USA",11/28/2025 11:59 PM EST,Internship,6/23/2025
1184,Yale University/Child Study Center,https://membership.appic.org/directory/display/503,"New Haven, CT, USA",11/01/2025 11:59 PM EST,Internship,6/6/2025
1251,Youth Consultation Service/YCS Institute,https://membership.appic.org/directory/display/195,"East Orange, NJ, USA",11/17/2025 11:59 PM EST,Internship,9/24/2025
1298,Youth Opportunity Center/Psychological Services Center,https://membership.appic.org/directory/display/433,"Muncie, IN, USA",11/15/2025 11:59 PM EST,Internship,11/6/2025
